x,gamma
-2.945184284983611,0.9320706816158133
-2.877743346236527,0.7633402551060591
-2.8703225986472996,0.925441475443186
-2.8609806783716403,0.8542445657045156
-2.755507924247568,0.9219648853014828
-2.6978635610438575,0.9352606647898113
-2.646784078236266,0.7507448882614853
-2.584829682022066,0.8761291815148242
-2.528042061178295,0.6588813170119738
-2.5018812165604043,0.5370413773850151
-2.3895849760106107,0.8323996219662803
-2.3859877577806308,0.9323253342968902
-2.334770072538744,0.8743639351147028
-2.332151948459921,0.8894222650229408
-2.3243933861026713,0.9199768106513365
-2.2782004295983143,0.9254766812683848
-2.2706665409822886,0.9274774441158367
-2.256349128170914,0.9272028020183819
-2.2556591634020675,0.9244997742610279
-2.1717295685635403,0.5430678652398766
-2.107756355000108,0.6892250427752171
-2.0980990073797656,0.8861400462962963
-2.0663878153414568,0.9374224668867461
-2.0618809741410447,0.9369837718396209
-2.0342157579959927,0.9253344138539441
-1.9861988660905228,0.8910405301139567
-1.94189602496111,0.8664551632934876
-1.9349071561061497,0.8285733184608148
-1.923325048524059,0.9343956030934666
-1.913094322576136,0.9006327383022038
-1.854655514688757,0.9304398774413429
-1.8008214284519857,0.8788441711714958
-1.7027590978417406,0.9369295405053686
-1.70103813879261,0.7910139336450532
-1.6761305719696145,0.9292685355791278
-1.6487939503326492,0.937420132052782
-1.6302482978440218,0.43103019813664095
-1.6144722040049797,0.5819094347285312
-1.604995579554305,0.8755974434176798
-1.604551786302221,0.21612602377891849
-1.5796892564900582,0.6534059852901191
-1.5497458654744602,0.9274108841235573
-1.547073165688791,0.0
-1.457679614779158,0.9352884602088334
-1.4343019855794061,0.6678489765485865
-1.4311581566792966,0.7836646946054766
-1.3826959389868991,0.8798322829708655
-1.3789155768962322,0.19495359461824907
-1.3505973091331391,0.8513369285131024
-1.3409606540779937,0.9082871079056776
-1.329713865674883,0.926239747388378
-1.3278018748050942,0.9370558340273218
-1.304372120642469,0.0
-1.2759396042848556,0.8041313641139137
-1.2610292212644991,0.0
-1.1741508413188948,0.9225828758268871
-1.0468172314957669,0.9207704702319192
-0.9707007489827009,0.8536625909693115
-0.9268946605025317,0.0
-0.8841103731728526,0.7614528828596231
-0.8724317605932645,0.0
-0.8341810991668055,0.9128636992258679
-0.813760150918114,0.9363052126046304
-0.7918952526817009,0.8953139638013673
-0.756452496064083,0.8271450153415163
-0.7444153459245477,0.0
-0.7007806050577652,0.7580595657854519
-0.6871090966525049,0.9369900064512837
-0.6591022782175426,0.9043185619233178
-0.6164445788067028,0.9162478085496644
-0.6145093416811942,0.7289456673099975
-0.5934553313580992,0.7935344841795287
-0.5911547978806972,0.9374314272527257
-0.5288088056687312,0.8850431377113804
-0.5128606065833188,0.8888632642491366
-0.46668878609252396,0.9113407367789331
-0.3453783321232291,0.12858167328472025
-0.2897322679327978,0.902944119715596
-0.2843454479786405,0.9115876538763625
-0.28000825876047464,0.7149267053103512
-0.1819605338114061,0.9128666558506262
-0.15468594063540642,0.9374097490900307
-0.045928086862282225,0.0
-0.04061369942918658,0.9361960717282202
0.04098395226450369,0.9298296848261299
0.05523975518040558,0.0
0.05629171565489788,0.7824265187616803
0.07761157770063232,0.7797272601579138
0.07888079673283088,0.9005368795708227
0.11363137736649387,0.8597824097959159
0.14847094646423775,0.8083199632509989
0.1592629768211531,0.0
0.1624454466577252,0.9371382342642361
0.19646122497345742,0.7262004697343561
0.2216511072295253,0.0
0.2635971372610324,0.9228371596478786
0.34417512291530783,0.0
0.3827546848069705,0.9010736174381138
0.42652650411353754,0.9338448563060795
0.4477378044276543,0.9180938450500107
0.49386225779540127,0.0
0.4959281896996153,0.9370757875273662
0.5702962848584001,0.0
0.5709152096602803,0.03704875505990168
0.6132200145222673,0.9374336367489035
0.6529200883485899,0.9339720571518233
0.6670568357245026,0.9135068011904818
0.6995284574927605,0.6887808037001073
0.716910568985631,0.9326870706127641
0.8003216063650509,0.9220870975349008
0.8177681466493094,0.7630314188687144
0.872372490300652,0.8159547801266728
0.8778505658556406,0.8363972124678394
0.9049080781224046,0.9262674868159866
0.9250535959371105,0.9288215782967008
0.9358789045960758,0.9215517391969764
0.9549747836935252,0.7220848205459995
0.984244560418492,0.8980782878548357
0.9918449926158623,0.7399224002157668
1.0519867437287027,0.8612764328115721
1.0846915059689746,0.9225363162006693
1.1013776368979478,0.9253204685975316
1.1471524930951935,0.9357451197842488
1.219263757919724,0.8342938534432227
1.2539896470010077,0.9169830513964081
1.266378376116428,0.7859264768552707
1.2754169942141946,0.7589694928793146
1.2757756348745928,0.8480449355692306
1.3861312065323408,0.8045277576391104
1.4027110932647042,0.890191386595499
1.4283118035134306,0.18984384925808262
1.4304236890821376,0.8940160234235395
1.434220774238105,0.8937422566822615
1.4593813397464954,0.9369165563471076
1.5290998888566583,0.9240838475239497
1.5502026201625594,0.0
1.5539913552410407,0.9239582072205683
1.605674796333835,0.9152013435328171
1.6624801671128462,0.9125504863108561
1.690253759833316,0.9344743880643955
1.776316099819705,0.9045750154079792
1.8443872482002133,0.7402552129193036
1.871652018846987,0.11098655608232637
1.8810844041592225,0.9373607764865686
2.1403371137618263,0.8039398576321692
2.1922507054779867,0.6528759723854897
2.234120086208612,0.9257142285345816
2.2811697568938376,0.93737751593877
2.2948753679679363,0.9081851379828448
2.2951304115241324,0.9372392219103316
2.3039505531889017,0.8238894111872076
2.3161730981768476,0.9212166865163622
2.377766972676681,0.8383690292510693
2.3888831435907285,0.7655475803070191
2.574904548711832,0.935432702247385
2.5835892269593397,0.73223499724911
2.682527135490148,0.8745186276838582
2.7242676103980736,0.8270840070364769
2.7426509821261034,0.6837680555577021
2.754598821350358,0.8397549426841942
2.8236922315145208,0.0
2.837930728617491,0.9374100984266694
2.8883864937193273,0.9374382646429458
2.8955698844820614,0.0
2.9993682529754437,0.519840814806933
